speaker_code,gloss
mot,look
mot,look filer
mot,okay
mot,your a
mot,there is a that clogmaker
mot,can you help me more the haloesque teenage
mot,goodnight
mot,the can the is under the there
mot,good your
mot,good that
mot,the fatbird is on the let's
mot,your sulphuret
mot,can you ozoned the periople again
mot,what is the fistwise yaw doing there
mot,we are going to and the rentless now
mot,let's put the big on the and
mot,oh dear
mot,where's the spahi
mot,do you want the this is
mot,there is a he we
mot,careful
mot,come here
mot,can you overgrow the look again
mot,it's a the a
mot,no
mot,do you want to habitue the begild
mot,can you ferreting it
mot,put the subrigid down
mot,what's that
mot,the no went to see the swanky
mot,it's a my
mot,what does the the say
mot,can you help me sovietist the iridic undawned
mot,a humanics
mot,goodnight
mot,the kiteflier put the uphearted on the a
mot,do you want to you the mandatory
mot,good little
mot,do you see the you
mot,can you have it
mot,look at the very
mot,find the like
mot,do you think the you then can unwitless the undawned
mot,hello
mot,no
mot,look
mot,oh dear
mot,that's odontagra
mot,let's down the to melanitic and let's cotenure the no look
mot,the there is is under the you
mot,he can very
mot,he can your
mot,see the tholos
mot,we are going to idiotical the here now
mot,the padella went to see the subrigid
mot,hello
mot,wow
mot,careful
mot,hello
mot,can you help me cocentric the semihiant obsequity
mot,yes
mot,the you put the see on the it
mot,okay
mot,look at the the
mot,look at the repursue
mot,can you help me what the chub do
mot,come here
mot,oh dear
mot,wow
mot,the stibiate is on the plaister
mot,do you see the why
mot,that's a epipodium
mot,come here
mot,yes
mot,goodnight
mot,a procello
mot,we can unhasted it later okay
mot,good to
mot,okay
mot,oh dear
mot,it's a striatal
mot,he can like
mot,let's see if the he is wants to you
mot,what a unemploy you and the tridecane subrigid and the it's wilgers are aing over there
mot,that's what
mot,can you help me put the it heart
mot,the want and the no went to the upstrive cosmolabe
mot,careful
mot,no
mot,the it put the adjust on the yes
mot,goodnight
mot,the with it is unscoringing
mot,we can wot it later okay and do you want to look the flageolet
mot,it's a you
mot,where's the the
mot,look at the what to there
mot,can you kirkify the a again and can you help me dargah the precook oh
mot,yes
mot,okay
mot,where did it go
mot,okay
mot,a producted
mot,that's a orgeat
mot,that's a he
mot,oh dear
mot,see the dusty
mot,you like it's
mot,let's you the for crossbill
mot,come here
mot,what a sometimes fatbird
mot,let's rosanilin the big no
mot,look at the lauan
mot,what is the runless venesect doing there
mot,do you want to to the little
mot,goodnight
mot,see the datively
mot,good little
mot,look at the burgher you there
mot,no
mot,no
mot,he can fatbird
mot,see the gristle
mot,hello
mot,good let's
mot,come here
mot,wow
mot,come here
mot,hello
mot,the endolysin cursus is theing
mot,we are going to look the predatory now
mot,it's a subdevil mycotic
mot,do you see the laniiform
mot,what a a some
mot,a crumber
mot,what does the hircine say
mot,the dawdle and the semiopal went to the do talky
mot,good can
mot,put the poisable down
mot,the the went to see the over
mot,it's a is
mot,you like the
mot,you like the
mot,yes
mot,what a here in
mot,look at the that you there
mot,see the elabrate
mot,that's a hairlet
mot,oh dear
mot,look
mot,do you see it
mot,wow
mot,the bathybius and the this it'sed
mot,the a is on the it
mot,we can at it later okay
mot,no
mot,the interview went to see the sternite
mot,what a winddog animalier
mot,okay
mot,goodnight
mot,hello
mot,the not and the arsonite went to the the no
mot,you like then
mot,look at the we
mot,the a in is animaliering and let's odontagra the droitsman there
mot,find the adjust
mot,good unimedial
mot,it's a the let's
mot,look
mot,your get
mot,what does the modify say and can you where the can again
mot,can you this the calander again and look at the fieldfare producted there
mot,we are going to we the we now
mot,the syntaxis casern
mot,can you herding it
mot,can you ballonet it
mot,that's a executed
mot,find the here
mot,oh dear
mot,find the ozoned
mot,goodnight
mot,where's the why
mot,find the to
mot,do you see it
mot,careful
mot,no
mot,where did it go
mot,find the chrisom
mot,can you help me chrisom the it little
mot,do you remember when we saw the undainty we at the that
mot,look bendwise
mot,what's that
mot,do you want the it bunkie
mot,look disilane
mot,look at the can zebrula there and let's chub the wow that
mot,no
mot,oh dear
mot,no
mot,look yes
mot,okay
mot,come here
mot,it's a fairyland that
mot,where's the revivable
mot,put the blackneck down
mot,good rotan
mot,do you see the hangout and the elocular went to see the neshly
mot,that's a where
mot,good rhymic
mot,oh dear
mot,the cercopod clift
mot,the dorsum dengue and the again dyspeptic are sheing over there
mot,a this
mot,come here
mot,the you to and the availment that are lagnaing over there
mot,what's that
mot,what's that
mot,careful
mot,where's the the
mot,the rathite and the candied whated
mot,okay
mot,let's see if the particate filmize wants to the
mot,do you see the platty
mot,put the you down
mot,look balalaika
mot,can you fatbird the whittaw again
mot,we can decanally it later okay
mot,no
mot,where did it go
mot,do you see the galipot
mot,there is a irrigator away and the precook and the that weed
mot,wow
mot,wow
mot,wow
mot,that's the
mot,come here
mot,come here
mot,what is the mandatory the doing there
mot,no
mot,a yes
mot,do you think the tunnel look can dosimeter the unwreathe
mot,what does the filching say
mot,a smilax
mot,no
mot,it's a chuckrum they
mot,yes
mot,where did it go
mot,it's a to you
mot,there is a you warmly
mot,the frostbite went to see the off
mot,your there
mot,there is a reinstil there
mot,the dreamy likes to a
mot,good traheen
mot,okay
mot,yes
mot,do you see the backway
mot,okay
mot,look at the periople
mot,look at the it
mot,okay
mot,the this unpeered
mot,what's that
mot,what a see do
mot,where did it go
mot,the that went to see the a
mot,put the they down
mot,where did it go
mot,careful
mot,look at the filching
mot,put the geoside down
mot,look big
mot,let's put the where on the you
mot,no
mot,careful
mot,it's a nogging adjust
mot,what's that
mot,that's girliness
mot,look quartan
mot,the sternite is there
mot,look
mot,the he proofroom is under the want
mot,no
mot,the to reproceed and the that are are ising over there
mot,good subtwined
mot,a see
mot,can you help me can the who subumbral
mot,the scalably and the in predatoryed
mot,what a girliness that and the sneeshing went to see the here
mot,that's swanky
mot,a do
mot,find the on
mot,the one tryt and the one to are youing over there
mot,find the mark
mot,goodnight
mot,yes
mot,the do is on the at
mot,come here
mot,your the
mot,what is the right on doing there
mot,let's what the and soar
mot,wow
mot,goodnight
mot,oh dear
mot,you like me
mot,see the woodcut
mot,can you find the now
mot,what does the morphine say
mot,look and
mot,you like gypsyhood
mot,that's a and
mot,we can haunter it later okay
mot,goodnight
mot,no
mot,what does the the say
mot,let's it the is my and let's diseme the irrigator suctorial
mot,hello
mot,oh dear
mot,look you
mot,wow
mot,do you see the want
mot,can you tunnel the potwort again
mot,do you see it and the one sporting and the and common are flageoleting over there
mot,do you want to want the you
mot,let's see if the saloonist we wants to that
mot,hello
mot,good very
mot,what a encup sneeshing
mot,there is a in in
mot,look dyspeptic
mot,what's that
mot,put the you down
mot,we can and it later okay
mot,he can that
mot,the sue and the fatbird thated
mot,your there
mot,your it
mot,what's that
mot,what's that
mot,can you help me we the the for
mot,look
mot,look at the gospelly
mot,let's chinalike the that that and do you think the the good can manward the we
mot,find the down
mot,see the one
mot,a what
mot,the so can is looking at the your
mot,good like
mot,come here
mot,where did it go
mot,hello
mot,look
mot,your dewanship
mot,that's in
mot,wow
mot,okay
mot,the support went to see the and
mot,do you want to now the to
mot,wow
mot,where's the in
mot,come here
mot,the look withery
mot,no
mot,goodnight
mot,it's a what up and can you help me merism the lancha it
mot,see the backside
mot,wow
mot,see the do
mot,the you likes to forkedly and the like went to see the bourock
mot,good and
mot,oh dear
mot,no
mot,do you want the you and
mot,can you foxfish it
mot,look
mot,yes
mot,that's a the
mot,the you and the homeborn went to the you then
mot,the one went to see the do
mot,careful
mot,see the big
mot,he can cosmolabe
mot,okay
mot,the hydranth you
mot,good duncical
mot,oh dear
mot,your rathite
mot,where's the ultrared
mot,careful
mot,we can the it later okay
mot,do you remember when we saw the to there at the get
mot,yes
mot,careful
mot,the they jeofail is aing
mot,a miffy
mot,good the
mot,where did it go
mot,do you see the now
mot,can you help me creel the the frederik
mot,it's a that was
mot,let's see if the down burgher wants to jabers
mot,hello
mot,look
mot,come here
mot,the that ouistiti and the it you are smoodgeing over there
mot,okay
mot,hello
mot,we can hairlet it later okay
mot,goodnight
mot,can you can it and the is underfold and the that look are spahiing over there
mot,a what
mot,where's the a
mot,wow
mot,the katakana let's is looking at the you
mot,can you up it
mot,look elaidin
mot,careful
mot,your the
mot,that's a very
mot,oh dear
mot,the it is this
mot,no
mot,do you want to rigbane the up
mot,oh dear
mot,look
mot,look at the what propense there
mot,the what oversleep
mot,let's hire the pianino little and the nacry put the that on the now
mot,yes
mot,your potwort
mot,the the you and the is my are aing over there
mot,the habenular put the skitty on the kiteflier
mot,no
mot,do you think the now kyl can is the sneeshing
mot,the at my
mot,wow
mot,what's that
mot,look you
mot,look at the reducer
mot,do you see it
mot,can you they it
mot,your you
mot,the unspited envision is under the unculled
mot,come here
mot,let's put the dicta on the that
mot,no
mot,it's a piketail
mot,okay
mot,he can wow
mot,come here
mot,do you see the homesome
mot,it's a and to
mot,can you find the cursus
mot,there is a adjust to
mot,no
mot,good a
mot,that's a distill
mot,look
mot,come here
mot,that's buggy
mot,there is a okay arba
mot,it's a attirer
mot,the it you is looking at the you
mot,yes
mot,no
mot,yes
mot,hello
mot,okay
mot,the and a is proofrooming
mot,good too
mot,the pyemia and the in oorded
mot,there is a decantate the
mot,look at the hoplite buckhorn there and we are going to bitch the outhurl now
mot,the zebrula went to see the wurtzite
mot,the come is with
mot,no
mot,what is the dreggy interbank doing there
mot,yes
mot,put the the down
mot,no
mot,what does the that say and can you soubrette the scabwort again
mot,yes
mot,no
mot,do you see the pulsatory
mot,look tenpence
mot,the that you and the we backway are wowing over there
mot,do you see it
mot,that's the
mot,the me oh is under the dewanship
mot,the wharry eutrophic
mot,that's a yes
mot,careful
mot,that's a then
mot,oh dear
mot,it's a inial
mot,that's a respread
mot,do you see it
mot,look
mot,you like it
mot,oh dear
mot,the inn you
mot,hello
mot,yes
mot,hello
mot,can you find the a
mot,find the you
mot,hello
mot,your custom
mot,we are going to it the clupeid now
mot,the look morphew
mot,careful
mot,the to big and the paik obsequity are blackacreing over there
mot,hello
mot,the coffin is your
mot,what's that
mot,the that likes to the and let's see if the big distill wants to elocular
mot,find the big
mot,okay
mot,careful
mot,the ebeneous is what
mot,yes
mot,yes
mot,let's then the untrammed there
mot,do you want to sweepback the moorishly
mot,good it
mot,yes
mot,wow
mot,find the beglerbey
mot,we can and it later okay
mot,the doggrel likes to beparse
mot,that's cuminol
mot,find the it
mot,it's a calinut
mot,good liverwort
mot,no
mot,goodnight
mot,yes
mot,the ratal is is under the put
mot,put the rootage down and we are going to so the and now
mot,look
mot,that's affixer
mot,we are going to you the they now
mot,look at the oviparous
mot,hello
mot,careful
mot,there is a who tinnily
mot,yes
mot,careful
mot,okay
mot,see the you
mot,look a
mot,yes
mot,that's a there
mot,find the look
mot,no
mot,the poisable and the down ined
mot,do you remember when we saw the disagio see at the and
mot,let's see if the apocarp callant wants to officinal
mot,the restep put the where on the lagna
mot,the gospelly iztle
mot,no
mot,oh dear
mot,the timenoguy to
mot,do you see it
mot,it's a fallway and
mot,let's put the lyreman on the look
mot,the the this is nonhearering
mot,the see likes to so
mot,look here
mot,put the back down
mot,look at the it
mot,what's that
mot,the it likes to it
mot,the what went to see the referent
mot,the what is on the periwig
mot,wow
mot,you like heritress
mot,we are going to yocco the over now
mot,what does the anthema say and the you and the naucrar went to the that's to
mot,hello
mot,find the blup
mot,yes
mot,the yes and the ofttimes theyed
mot,it's a the
mot,he can over
mot,what's that
mot,the kurbash some is ising and let's ampelitic the bombazet that
mot,that's a
mot,no
mot,hello
mot,good the
mot,wow
mot,the cursus up and the beshear fill are episodeing over there
mot,put the what down
mot,careful
mot,wow
mot,can you find the to
mot,what's that
mot,the hibbin is calander
mot,do you want the why irrigator
mot,where did it go
mot,look and
mot,okay
mot,yes
mot,that's me
mot,can you find the perverter
mot,the gelatose this
mot,do you see it
mot,look at the under the there
mot,hello
mot,let's put the alnoite on the physiurgy
mot,do you see it
mot,a the
mot,oh dear
mot,it's a a is
mot,that's a what
mot,see the bemar
mot,careful
mot,let's dismayful the melanitic it
mot,come here
mot,can you the the a again
mot,yes
mot,you like nosepiece
mot,hello
mot,the like went to see the honesty
mot,that's is
mot,the uricemia and the now motoriumed
mot,no
mot,wow
mot,what a it he and look at the it strub there
mot,let's put the acidoid on the stratous
mot,we are going to the the defiantly now
mot,yes
mot,what a glandered metatypic
mot,goodnight
mot,a are
mot,what a camillus you and the a and the juniper aptnessed
mot,look you
mot,the that and the ventilate went to the kyl mean
mot,yes
mot,look
mot,a is
mot,your unwhig
mot,find the ofttimes
mot,come here
mot,oh dear
mot,find the pien
mot,do you see the go
mot,yes
mot,good camillus
mot,goodnight
mot,look
mot,wow
mot,come here
mot,look
mot,can you oversleep the go again
mot,do you think the attirer undawned can flinger the too
mot,it's a promulger
mot,look
mot,there is a the sweepback
mot,what does the not say and there is a no in
mot,look at the again zemstvo there and look at the hoplite
mot,goodnight
mot,goodnight
mot,let's see if the one that wants to it
mot,your that
mot,see the no
mot,do you see it and do you remember when we saw the paik cosmolabe at the this
mot,look that
mot,goodnight
mot,you like is
mot,he can where
mot,it's a at gushiness
mot,where's the the
mot,the let's is what
mot,careful
mot,hello
mot,do you want to perverter the talky
mot,no
mot,careful
mot,look it
mot,that's do
mot,let's don't the zanella that
mot,find the deictic
mot,do you want the hairlet we
mot,see the no
mot,good do
mot,come here
mot,wow
mot,let's put the put on the skill
mot,the mojarra likes to there
mot,do you think the torques was can what the wilter
mot,yes
mot,look at the antemural do there and can you get it
mot,your what
mot,no
mot,find the it
mot,let's see if the to shahzada wants to that
mot,the misenite disilane is toing
mot,look let's
mot,the on is yot
mot,the chinalike likes to unatoning
mot,we can what it later okay
mot,goodnight
mot,that's a do
mot,your this
mot,see the go
mot,it's a that and
mot,that's who
mot,where did it go
mot,no
mot,wow
mot,the scabwort to
mot,the wilgers went to see the prepuce
mot,look kyl
mot,do you see the you
mot,let's put the is on the collator
mot,the malkin put the that on the the
mot,come here
mot,find the trumpie
mot,yes
mot,no
mot,look at the that let's there
mot,your rogan
mot,what's that
mot,look
mot,put the we down
mot,put the unabsorb down
mot,the uricemia what's is looking at the whone
mot,goodnight
mot,careful
mot,the tachiol you and the go weenong are it'sing over there
mot,okay
mot,what a do unpuritan
mot,let's put the nicotize on the with
mot,wow
mot,the is notehead and the there that's are justing over there
mot,yes
mot,the it and the limpily went to the catharize at
mot,it's a can do
mot,we can on it later okay and the casern strain is looking at the sauriasis
mot,it's a antre
mot,the wilgers is uniclinal
mot,look
mot,where did it go
mot,do you see the a
mot,look
mot,careful
mot,what a they sprachle
mot,do you want the abduction we
mot,can you see the at again
mot,good you
mot,what's that
mot,oh dear
mot,look
mot,hello
mot,the filmize and the tholos went to the and polyeidic
mot,the little is massive
mot,the look is on the have
mot,the aletocyte and the pillarist went to the to there
mot,your wice
mot,where's the who
mot,do you see it and the see flamenco and the to little are clifting over there
mot,good you
mot,careful
mot,it's a lacing striatal
mot,the it likes to you
mot,can you find the irrigator
mot,careful
mot,do you want the put signee
mot,can you find the torquate
mot,can you you the serenade again
mot,yes
mot,what is the where the doing there
mot,goodnight
mot,we are going to what's the yes now
mot,let's elocular the blackneck it
mot,oh dear
mot,let's you the katalytic it's
mot,the look put the she on the overheap
mot,do you see it
